method,data,variable,function,width,time(s),memery(kb)
DUCK-F-AM4-THREAD-24,synthetic128m16v,1,L2LN,600,1.231,2825900
DUCK-F-AM4-THREAD-24,synthetic128m16v,2,L2LN,600,1.251,3718968
DUCK-F-AM4-THREAD-24,synthetic128m16v,3,L2LN,600,1.512,4801208
DUCK-F-AM4-THREAD-24,synthetic128m16v,4,L2LN,600,1.534,5142516
DUCK-F-AM4-THREAD-24,synthetic128m16v,5,L2LN,600,1.719,6541664
DUCK-F-AM4-THREAD-24,synthetic128m16v,6,L2LN,600,1.880,8081556
DUCK-F-AM4-THREAD-24,synthetic128m16v,7,L2LN,600,2.101,9759144
DUCK-F-AM4-THREAD-24,synthetic128m16v,8,L2LN,600,2.207,10031868
DUCK-F-AM4-THREAD-24,synthetic128m16v,9,L2LN,600,2.068,11977040
DUCK-F-AM4-THREAD-24,synthetic128m16v,10,L2LN,600,2.583,12086176
DUCK-F-AM4-THREAD-24,synthetic128m16v,11,L2LN,600,2.590,14308024
DUCK-F-AM4-THREAD-24,synthetic128m16v,12,L2LN,600,2.619,16619896
DUCK-F-AM4-THREAD-24,synthetic128m16v,13,L2LN,600,2.706,19032308
DUCK-F-AM4-THREAD-24,synthetic128m16v,14,L2LN,600,2.916,19222008
DUCK-F-AM4-THREAD-24,synthetic128m16v,15,L2LN,600,3.230,21792556
DUCK-F-AM4-THREAD-24,synthetic128m16v,16,L2LN,600,3.123,21919796
